"Tipo","Codice CdL","Valore Indicatore"
"Magistrali","5072",4
"Magistrali","5075",6
"Magistrali","5036",10
"Magistrali","5013",11
"Magistrali","5018",11
"Magistrali","5037",11
"Magistrali","5011",15
"Magistrali","5069",15
"Magistrali","5039",16
"Magistrali","5041",17
"Magistrali","5076",19
"Magistrali","5065",23
"Magistrali","5052",24
"Magistrali","5043",25
"Magistrali","5050",30
"Magistrali","5062",31
"Magistrali","5025",34
"Magistrali","5055",35
"Magistrali","5044",35
"Magistrali","5015",38
"Magistrali","5066",50
"Magistrali","5061",53
"Magistrali","5048",55
"Magistrali","5045",56
"Magistrali","5016",59
"Magistrali","5073",59
"Magistrali","5077",60
"Magistrali","5049",65
"Magistrali","5054",76
"Magistrali","5005",82
"Magistrali","5010",83
"Magistrali","5000",91
"Magistrali","5053",94
"Magistrali","5064",104
"Magistrali","5071",107
"Magistrali","5068",107
"Magistrali","5047",117
"Magistrali","5003",129
"Magistrali","5059",137
"Magistrali","5078",141
"Magistrali","5046",148
"Magistrali","5028",148
"Magistrali","5014",161
